dates,p45.auc,bottom_R45,maxclust,top_R45,measure,p45.incidence
3/4/19,12.79715782,3.69140625,4.31640625,6.7578125,large,4
3/21/19,16.58548352,2.48046875,4.3484375,10,large,3
4/11/19,0.012763126,7.34375,7.42265625,7.51953125,large,11
5/2/19,10.76357877,0.72265625,5.3203125,9.4921875,large,7
5/16/19,4.040146813,NA,NA,NA,large,10
5/28/19,3.076653019,3.671875,4.39765625,4.51171875,large,2
6/13/19,8.100330248,5.078125,6.65859375,10,large,6
7/1/19,7.052077279,5.15625,5.9125,10,large,0
7/22/19,7.052077279,5.15625,5.9125,10,large,0
8/16/19,3.35213051,6.19140625,6.85546875,10,large,0
9/17/19,5.402297525,5.33203125,6.59296875,10,large,1
10/14/19,4.023009199,5.2734375,6.62578125,10,large,1
11/12/19,3.984338119,5.3125,5.8828125,10,large,6
12/6/19,0.723665974,7.16796875,7.74140625,9.08203125,large,2
3/4/19,12.79715782,0.80078125,1.0625,2.28515625,small,NA
3/21/19,16.58548352,2.48046875,3.7296875,10,small,NA
4/11/19,0.012763126,NA,NA,NA,small,NA
5/2/19,10.76357877,NA,NA,NA,small,NA
5/16/19,4.040146813,0.25390625,1.2609375,2.65625,small,NA
5/28/19,3.076653019,0.25390625,0.6078125,1.11328125,small,NA
6/13/19,8.100330248,1.23046875,1.5859375,3.33984375,small,NA
7/1/19,7.052077279,1.23046875,1.703125,2.48046875,small,NA
7/22/19,7.052077279,1.23046875,1.703125,2.48046875,small,NA
8/16/19,3.35213051,1.640625,1.89453125,2.28515625,small,NA
9/17/19,5.402297525,1.30859375,1.89453125,2.48046875,small,NA
10/14/19,4.023009199,NA,NA,NA,small,NA
11/12/19,3.984338119,2.71484375,3.0078125,4.0234375,small,NA
12/6/19,0.723665974,0.72265625,1.7875,3.0859375,small,NA